,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,115826,0,1023,453,4,197,6,44,14,10,46,0,0,15,15,21,5,10,21,57,0,19,97,7,74,66,3,2,27,6,38,6,21,8,42,5,29,12,3,11,0,0,4,54,4,8,11,184,1379
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1195,0,969516,25992,151,62003,770,19410,8134,267,4014,0,29,3179,5404,5714,611,418,1732,3280,0,12349,1978,140,2366,6056,547,236,224,302,575,136,381,260,2494,98,3019,669,241,578,0,0,50,1639,140,250,321,97,8664
3,464,0,29478,263075,2290,5002,1464,1159,622,23,2756,0,103,1187,819,791,93,70,325,6326,0,989,8372,38,2982,4565,521,783,308,346,783,158,377,470,3085,223,2691,693,277,715,0,0,7,800,64,150,84,27,2550
4,4,0,202,2650,0,324,193,13,6,0,52,0,14,100,3,14,1,1,3,274,0,29,690,0,117,109,13,29,16,12,16,12,11,22,75,2,35,10,6,3,0,0,0,5,0,0,0,1,21
5,156,0,66083,5309,405,279831,382,3429,1018,58,1315,0,17,3637,1230,1265,125,88,328,1281,0,7141,655,25,627,1751,210,139,56,101,113,30,117,43,745,16,920,243,48,231,0,0,4,333,40,68,87,4,2214
6,7,0,723,1812,421,304,0,73,28,1,184,0,179,195,39,42,4,0,19,276,0,148,207,2,286,200,59,33,25,81,37,7,8,9,79,7,109,25,10,55,0,0,0,15,1,2,1,1,111
7,23,0,19598,977,11,3811,51,115003,3625,169,724,0,2,392,12323,3976,115,72,277,535,0,6307,289,2,122,585,77,24,9,27,37,6,47,23,365,9,253,118,25,67,0,0,1,31,13,15,22,1,546
8,14,0,7920,509,0,1147,17,3700,38550,3,241,0,0,85,1986,178,12,4,64,215,0,443,98,7,84,480,53,23,7,20,23,6,35,21,160,6,267,70,10,49,0,0,0,57,6,10,21,1,368
9,8,0,195,16,0,54,1,219,3,6596,43,0,0,170,211,441,4,0,12,40,0,263,17,1,6,8,17,5,3,0,8,2,1,1,11,0,2,1,1,1,0,0,0,2,0,0,0,0,93
10,44,0,3453,2524,31,1533,196,581,278,40,145317,0,0,328,1114,2761,64,71,1877,3466,0,439,5080,8,511,1260,256,36,80,91,121,128,411,1917,1842,94,1296,202,194,338,0,0,6,82,5,20,20,3,947
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,30,134,32,7,216,1,0,0,1,0,0,2,0,1,0,0,1,7,0,3,13,0,267,55,12,17,2,3,2,1,0,0,1,0,5,17,0,0,0,0,0,1,1,0,0,0,9
13,8,0,2620,1239,102,4517,224,396,80,174,283,0,2,66666,311,2094,47,25,94,830,0,2722,1317,6,314,388,123,129,59,73,74,47,94,61,255,21,181,44,29,91,0,0,0,18,3,6,4,1,535
14,23,0,4794,720,5,1423,75,12941,1709,195,867,0,0,355,56389,9998,3152,388,1151,371,0,3386,230,5,130,437,48,34,14,26,30,7,42,41,252,8,190,27,17,34,0,0,0,24,4,8,5,0,540
15,18,0,4275,901,20,1260,109,3209,149,365,3423,0,1,2291,9462,62840,1501,1233,6651,1164,0,2220,2037,16,555,683,189,164,86,97,139,37,195,190,629,70,400,85,66,84,0,0,4,36,2,3,8,1,469
16,1,0,444,62,0,119,1,123,14,1,40,0,0,38,3440,1555,17328,316,526,22,0,105,39,1,21,18,31,20,4,3,15,1,17,13,29,0,12,13,8,1,0,0,0,0,6,0,1,0,170
17,3,0,300,43,1,97,1,75,2,1,31,0,0,11,400,1466,283,13827,1883,27,0,80,17,0,8,13,3,5,0,3,3,0,1,2,15,0,7,1,1,1,0,0,0,1,3,0,0,0,78
18,16,0,1362,262,0,375,9,314,69,20,2622,0,0,103,1341,5795,508,1852,48084,198,0,231,279,13,68,183,30,12,11,11,26,24,142,141,320,50,216,35,43,76,0,0,23,29,1,0,4,1,272
19,67,0,3391,6856,252,1553,388,404,233,39,3190,0,10,773,490,702,42,28,144,102767,0,380,15336,8,1155,1258,293,2813,1067,737,384,469,377,1741,3033,89,914,177,119,187,0,0,3,93,7,11,17,0,953
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17,0,10761,1028,25,8230,157,6543,234,304,427,0,4,2802,2789,3136,104,84,236,365,0,64494,198,9,148,413,50,43,16,18,49,13,42,18,184,8,186,57,14,32,0,0,1,56,1,4,8,1,550
22,104,0,2590,11166,933,1000,285,388,146,31,4112,0,21,1556,335,1749,74,34,298,12576,0,302,77665,11,1049,665,167,829,176,134,300,96,465,1659,2344,98,849,279,134,144,0,0,21,121,11,19,32,5,782
23,11,0,131,38,0,30,1,4,6,0,11,0,1,1,9,6,0,2,11,7,0,15,6,3251,18,63,1,5,5,7,10,2,7,5,24,1,27,8,5,1,0,0,1,8,0,0,4,3,149
