,AP,x_coordinate(m),y_coordinate(m),floor
0,Bldg1AP1,21534,32313,2.0
2,Bldg1AP3,21534,32313,3.0
3,Bldg1AP4,21534,32313,3.0
4,Bldg1AP5,21534,32313,4.0
5,Bldg1AP6,21534,32313,4.0
6,Bldg1AP7,21534,32313,5.0
7,Bldg1AP8,21534,32313,2.0
8,Bldg1AP9,21534,32313,3.0
9,Bldg1AP10,21534,32313,3.0
10,Bldg1AP11,21534,32313,5.0
12,Bldg1AP13,21534,32313,1.0
13,Bldg1AP14,21534,32313,2.0
14,Bldg1AP15,21534,32313,3.0
15,Bldg1AP16,21534,32313,3.0
16,Bldg1AP17,21534,32313,4.0
17,Bldg1AP18,21534,32313,4.0
18,Bldg1AP19,21534,32313,5.0
19,Bldg1AP20,21534,32313,
21,Bldg1AP22,21534,32313,2.0
22,Bldg1AP23,21534,32313,3.0
23,Bldg1AP24,21534,32313,4.0
24,Bldg1AP25,21534,32313,4.0
25,Bldg1AP26,21534,32313,4.0
26,Bldg1AP27,21534,32313,1.0
27,Bldg1AP28,21534,32313,5.0
28,Bldg1AP29,21534,32313,5.0
29,Bldg1AP30,21534,32313,5.0
30,Bldg2AP1,21702,32607,2.0
31,Bldg2AP2,21702,32607,1.0
32,Bldg2AP3,21702,32607,1.0
33,Bldg2AP4,21702,32607,4.0
34,Bldg2AP5,21702,32607,4.0
35,Bldg2AP6,21702,32607,2.0
36,Bldg2AP7,21702,32607,2.0
37,Bldg2AP8,21702,32607,2.0
38,Bldg2AP9,21702,32607,2.0
39,Bldg2AP10,21702,32607,3.0
42,Bldg2AP13,21702,32607,4.0
43,Bldg2AP14,21702,32607,4.0
44,Bldg2AP15,21702,32607,4.0
45,Bldg2AP16,21702,32607,4.0
46,Bldg2AP17,21702,32607,5.0
47,Bldg2AP18,21702,32607,5.0
48,Bldg2AP19,21702,32607,5.0
49,Bldg2AP20,21702,32607,5.0
50,Bldg2AP21,21702,32607,5.0
51,Bldg3AP1,21804,32683,3.0
52,Bldg3AP2,21804,32683,3.0
53,Bldg3AP3,21804,32683,3.0
54,Bldg3AP4,21804,32683,3.0
55,Bldg3AP5,21804,32683,3.0
56,Bldg3AP6,21804,32683,3.0
57,Bldg3AP7,21804,32683,3.0
58,Bldg3AP8,21804,32683,3.0
59,Bldg3AP9,21804,32683,3.0
60,Bldg3AP10,21804,32683,3.0
61,Bldg3AP11,21728,32711,3.0
62,Bldg3AP12,21728,32711,3.0
63,Bldg3AP13,21728,32711,3.0
64,Bldg3AP14,21804,32683,3.0
65,Bldg3AP15,21728,32711,5.0
66,Bldg3AP16,21728,32711,5.0
67,Bldg3AP17,21728,32711,5.0
68,Bldg3AP18,21728,32711,5.0
69,Bldg3AP19,21804,32683,6.0
70,Bldg3AP20,21804,32683,6.0
71,Bldg3AP21,21804,32683,6.0
72,Bldg3AP22,21804,32683,4.0
73,Bldg3AP23,21844,32793,4.0
74,Bldg3AP24,21728,32711,2.0
75,Bldg3AP25,21728,32711,2.0
76,Bldg3AP26,21728,32711,2.0
77,Bldg3AP27,21728,32711,3.0
78,Bldg3AP28,21844,32793,
79,Bldg3AP29,21728,32711,4.0
80,Bldg3AP30,21728,32711,4.0
81,Bldg3AP31,21728,32711,2.0
82,Bldg3AP32,21728,32711,3.0
83,Bldg3AP33,21728,32711,4.0
84,Bldg3AP34,21728,32711,4.0
85,Bldg3AP35,21728,32711,4.0
86,Bldg3AP36,21728,32711,4.0
87,Bldg3AP37,21728,32711,4.0
88,Bldg3AP38,21728,32711,5.0
89,Bldg3AP39,21728,32711,5.0
90,Bldg3AP40,21728,32711,5.0
91,Bldg3AP41,21728,32711,5.0
92,Bldg3AP42,21728,32711,6.0
93,Bldg3AP43,21728,32711,6.0
94,Bldg3AP44,21728,32711,6.0
