AP,x_coordinate(m),y_coordinate(m),floor
Bldg1AP1,21534,32313,2
Bldg1AP2,21534,32313,2
Bldg1AP3,21534,32313,3
Bldg1AP4,21534,32313,3
Bldg1AP5,21534,32313,4
Bldg1AP6,21534,32313,4
Bldg1AP7,21534,32313,5
Bldg1AP8,21534,32313,2
Bldg1AP9,21534,32313,3
Bldg1AP10,21534,32313,3
Bldg1AP11,21534,32313,5
Bldg1AP12,21534,32313,5
Bldg1AP13,21534,32313,1
Bldg1AP14,21534,32313,2
Bldg1AP15,21534,32313,3
Bldg1AP16,21534,32313,3
Bldg1AP17,21534,32313,4
Bldg1AP18,21534,32313,4
Bldg1AP19,21534,32313,5
Bldg1AP20,21534,32313,NA
Bldg1AP21,21534,32313,2
Bldg1AP22,21534,32313,2
Bldg1AP23,21534,32313,3
Bldg1AP24,21534,32313,4
Bldg1AP25,21534,32313,4
Bldg1AP26,21534,32313,4
Bldg1AP27,21534,32313,1
Bldg1AP28,21534,32313,5
Bldg1AP29,21534,32313,5
Bldg1AP30,21534,32313,5
Bldg2AP1,21702,32607,2
Bldg2AP2,21702,32607,1
Bldg2AP3,21702,32607,1
Bldg2AP4,21702,32607,4
Bldg2AP5,21702,32607,4
Bldg2AP6,21702,32607,2
Bldg2AP7,21702,32607,2
Bldg2AP8,21702,32607,2
Bldg2AP9,21702,32607,2
Bldg2AP10,21702,32607,3
Bldg2AP11,21702,32607,3
Bldg2AP12,21702,32607,3
Bldg2AP13,21702,32607,4
Bldg2AP14,21702,32607,4
Bldg2AP15,21702,32607,4
Bldg2AP16,21702,32607,4
Bldg2AP17,21702,32607,5
Bldg2AP18,21702,32607,5
Bldg2AP19,21702,32607,5
Bldg2AP20,21702,32607,5
Bldg2AP21,21702,32607,5
Bldg3AP1,21804,32683,3
Bldg3AP2,21804,32683,3
Bldg3AP3,21804,32683,3
Bldg3AP4,21804,32683,3
Bldg3AP5,21804,32683,3
Bldg3AP6,21804,32683,3
Bldg3AP7,21804,32683,3
Bldg3AP8,21804,32683,3
Bldg3AP9,21804,32683,3
Bldg3AP10,21804,32683,3
Bldg3AP11,21728,32711,3
Bldg3AP12,21728,32711,3
Bldg3AP13,21728,32711,3
Bldg3AP14,21804,32683,3
Bldg3AP15,21728,32711,5
Bldg3AP16,21728,32711,5
Bldg3AP17,21728,32711,5
Bldg3AP18,21728,32711,5
Bldg3AP19,21804,32683,6
